listing_id,has_availability,availability_30,availability_60,availability_90,availability_365
947412,TRUE,0,0,1,46
1930750,TRUE,0,0,0,226
1428582,TRUE,14,35,51,309
1934911,TRUE,0,0,0,0
947423,FALSE,0,0,0,0
949922,TRUE,19,49,78,337
1440830,TRUE,0,0,0,0
953071,TRUE,0,0,0,0
1441538,TRUE,17,40,48,322
1935282,TRUE,20,45,73,330
1461266,TRUE,0,22,52,327
1954417,TRUE,0,5,32,68
954116,TRUE,0,0,1,170
1462311,TRUE,22,47,77,329
955612,TRUE,30,60,89,342
1979797,TRUE,8,29,29,89
1990225,TRUE,0,0,0,0
1462557,TRUE,5,21,40,83
956708,TRUE,0,0,0,175
1484462,TRUE,0,0,0,0
1997625,TRUE,3,33,61,312
1499714,TRUE,11,34,60,297
957282,TRUE,0,0,0,42
1502213,TRUE,0,5,35,310
2346097,TRUE,0,0,0,0
2349447,TRUE,0,0,0,0
2010358,TRUE,26,56,86,275
2038344,TRUE,24,48,78,166
1507941,TRUE,0,0,0,0
2045501,TRUE,29,59,89,89
2350341,FALSE,0,0,0,0
1542596,FALSE,0,0,0,0
2350566,TRUE,0,0,0,0
2048537,TRUE,30,56,82,312
1542779,TRUE,20,20,20,20
1561778,TRUE,23,53,83,263
2049254,TRUE,0,0,0,0
2352061,TRUE,0,0,0,0
1570491,TRUE,22,44,65,309
2355556,TRUE,0,0,0,0
1574481,TRUE,1,10,40,289
2356432,FALSE,0,0,0,0
1576290,FALSE,0,0,0,0
2357048,TRUE,0,0,0,0
2056845,TRUE,7,7,7,261
1577342,TRUE,0,26,52,63
2057533,TRUE,0,0,0,0
2357311,TRUE,18,45,75,75
1578787,TRUE,30,60,90,365
2360031,TRUE,0,0,24,299
2361530,FALSE,0,0,0,0
1579405,TRUE,22,42,67,224
2365093,TRUE,30,60,90,365
2098455,TRUE,7,30,33,33
1586879,FALSE,0,0,0,0
2104280,TRUE,29,59,89,360
2124726,TRUE,19,41,63,68
2367942,TRUE,0,0,0,0
1592065,TRUE,23,53,83,83
2368211,TRUE,0,0,0,0
2126912,TRUE,0,0,0,0
2130032,TRUE,0,0,0,0
1593451,TRUE,26,56,86,212
2138690,TRUE,0,0,0,0
2373871,FALSE,0,0,0,0
1594441,TRUE,0,26,26,204
2377337,TRUE,0,0,0,89
2138750,TRUE,0,0,0,0
2139352,TRUE,6,36,66,240
2141987,TRUE,3,18,23,83
2380227,TRUE,0,0,0,0
1599035,TRUE,11,24,42,145
2380947,TRUE,30,60,89,89
2381227,FALSE,0,0,0,0
2149362,FALSE,0,0,0,0
2168813,TRUE,24,54,84,359
1608290,FALSE,0,0,0,0
2174970,TRUE,25,48,64,313
2381241,FALSE,0,0,0,0
1608994,TRUE,9,39,69,253
2384000,TRUE,0,0,1,1
2384420,FALSE,0,0,0,0
2183136,TRUE,30,60,90,365
1612438,TRUE,21,51,77,300
2187256,TRUE,0,0,0,0
2384692,FALSE,0,0,0,0
1618754,FALSE,0,0,0,0
2386534,TRUE,0,0,0,0
2189688,TRUE,27,57,87,362
1627417,TRUE,21,51,73,73
2198635,TRUE,28,58,78,339
2387160,TRUE,23,49,79,169
2389513,FALSE,0,0,0,0
1640231,TRUE,19,44,74,163
2390894,TRUE,0,28,58,80
2391847,FALSE,0,0,0,0
2200205,TRUE,28,58,88,167
2208270,TRUE,0,0,0,0
1641751,TRUE,30,58,88,261
2223634,TRUE,14,44,74,152
2227127,TRUE,24,45,45,45
2394252,FALSE,0,0,0,0
2396602,TRUE,0,0,0,0
1654316,TRUE,13,39,39,197
2405927,TRUE,0,0,0,0
2227221,TRUE,30,60,90,364
2227288,TRUE,0,0,0,0
2227564,FALSE,0,0,0,0
1664692,TRUE,23,53,83,352
2231056,TRUE,0,0,0,0
2406879,FALSE,0,0,0,0
2406891,TRUE,4,12,12,184
1673142,TRUE,0,0,25,86
2410434,FALSE,0,0,0,0
2412870,TRUE,0,0,0,0
1677516,TRUE,0,0,0,0
2416095,TRUE,0,0,0,0
2417854,TRUE,0,0,25,300
2236988,TRUE,0,0,0,0
2248559,TRUE,0,0,0,221
2250253,TRUE,0,0,0,0
2254118,TRUE,5,31,31,31
1681072,TRUE,10,23,34,252
2254712,TRUE,26,56,78,315
1683574,TRUE,26,56,86,361
2266768,TRUE,21,37,67,67
2418647,TRUE,1,31,61,61
2423468,TRUE,0,0,12,12
1690154,TRUE,25,55,85,88
2424756,FALSE,0,0,0,0
2272446,FALSE,0,0,0,0
1692542,TRUE,0,0,0,0
2273233,TRUE,0,0,0,0
